"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LTB",0,2.27040557801391,0.938,0.314,0,"0","LTB"
"TRAC",0,2.10184857161306,0.827,0.135,0,"0","TRAC"
"CD3D",0,1.8792622373999,0.833,0.159,0,"0","CD3D"
"IL7R",0,1.78177167610289,0.568,0.061,0,"0","IL7R"
"JUNB",0,1.7331716574571,0.961,0.674,0,"0","JUNB"
"CD3E",0,1.69271802676414,0.738,0.117,0,"0","CD3E"
"RPS27",0,1.62352853406438,1,0.963,0,"0","RPS27"
"RPS29",0,1.59662369239066,0.999,0.824,0,"0","RPS29"
"CD3G",0,1.58238298712162,0.535,0.062,0,"0","CD3G"
"RPS25",0,1.55556268495184,0.999,0.877,0,"0","RPS25"
"RPL31",0,1.54591506734086,0.998,0.885,0,"0","RPL31"
"RPL30",0,1.48975257664358,0.989,0.645,0,"0","RPL30"
"RPS6",0,1.4571802781723,1,0.958,0,"0","RPS6"
"GAS5",0,1.4441004900954,0.921,0.485,0,"0","GAS5"
"AP001324.1",0,1.43792573581642,0.994,0.747,0,"0","AP001324.1"
"RPL13",0,1.42109006324552,1,0.97,0,"0","RPL13"
"RPS15A",0,1.41061373431959,1,0.92,0,"0","RPS15A"
"SARAF",0,1.40072157456268,0.896,0.47,0,"0","SARAF"
"AC099336.2",0,1.39845868680818,0.935,0.538,0,"0","AC099336.2"
"RPL3P4",0,1.39704249315443,0.999,0.739,0,"0","RPL3P4"
"RPL34",0,1.37805494341574,1,0.944,0,"0","RPL34"
"RPS12",0,1.3756062548965,0.999,0.976,0,"0","RPS12"
"RPL9P9",0,1.3680054043731,0.999,0.722,0,"0","RPL9P9"
"RPL10P16",0,1.36167936985493,0.992,0.655,0,"0","RPL10P16"
"RPL3",0,1.36167807265651,1,0.89,0,"0","RPL3"
"RPL23A",0,1.35243555327862,0.995,0.713,0,"0","RPL23A"
"RPL36",0,1.34732293122974,0.999,0.863,0,"0","RPL36"
"RPLP2",0,1.34592131754457,1,0.957,0,"0","RPLP2"
"AC073621.1",0,1.34305280905683,0.964,0.572,0,"0","AC073621.1"
"RPL10",0,1.32122655981524,1,0.972,0,"0","RPL10"
"RPL38",0,1.31484685887989,0.999,0.793,0,"0","RPL38"
"AC073861.1",0,1.31074775120369,0.997,0.723,0,"0","AC073861.1"
"RPL32",0,1.30787567986934,1,0.975,0,"0","RPL32"
"RPL11",0,1.30388770839065,1,0.958,0,"0","RPL11"
"RPSA",0,1.29422994417059,0.998,0.761,0,"0","RPSA"
"RPL21",0,1.28529269641835,1,0.976,0,"0","RPL21"
